等级,法术名称,派系,施法时间,施法距离,法术成分,持续时间,专注,豁免,仪式,施法材料,法术说明,法术升阶,诗人,牧师,德鲁伊,圣武士,游侠,术士,邪术士,法师
8,Demiplane 创造半位面,咒法,1个动作,60尺,S,1小时,,,,,"在你可见的固体平面上创造一扇模糊的门。这扇门大到足以让中型生物畅通无阻。当门开启就通向了一个30英尺见方，由木头或石头建造的空房间半位面。法术结束时，这扇门会消失。任何还在半位面的生物或物品会困在那里。门在半位面那边也消失了。
每次施放这个法术，你可以创造一个新的半位面。你也可以连向用这个法术创造的旧有的半位面。另外，如果你知晓了某个其他生物用这个法术创造的半位面，你也可以通过这个法术连接到那里。",,,,,,,,邪术士,法师
5,Destructive Wave 湮灭波,塑能,1个动作,自身（半径30尺）,V,立即,,体质,,,你敲击地面，从你身上爆发出一阵神赐能量。每个30英尺内你所选择的生物，都要通过一个体质豁免检定。失败受到5d6雷鸣伤害以及5d6光耀或黯蚀伤害（由你选择）并且被击倒，成功则承受一半伤害，并且不会被击倒。,,,,,,,,,
1,Detect Evil and Good 侦测善恶,预言,1个动作,自身,V S,10分钟,专注,,,,"如果你30英尺内出现了一个异怪、天界生物、元素、精类、邪魔或不死生物，你会知道并掌握他们的位置。同样，你能知道30英尺内神圣或亵渎的地点和物品。
这个法术能够穿透大多数障碍，但是可以被1英尺厚的石头、1英寸厚的金属板、一层薄薄的铅或3英尺厚的木头或泥土阻挡。
",,,牧师,,圣武士,,,,
1,Detect Magic 侦测魔法,预言,1个动作,自身,V S,10分钟,专注,,仪式,,"你能感知到30英尺内的魔法。通过这种方式，你可以使用动作，看到任何可见的生物或物品周围微弱的灵光。如果这个魔法属于某个法术学派，你可以分辨出来。
这个法术能够穿透大多数障碍，但是可以被1英尺厚的石头、1英寸厚的金属板、一层薄薄的铅或3英尺厚的木头或泥土阻挡。",,诗人,牧师,德鲁伊,圣武士,游侠,术士,,法师
1,Detect Poison and Disease 侦测毒性和疾病,预言,1个动作,自身,V S M,10分钟,专注,,仪式,一片红豆杉叶,"你可以感知并定位30英尺内的毒素、有毒生物和疾病。你可以判断是哪一种毒素、有毒生物和疾病。
这个法术能够穿透大多数障碍，但是可以被1英尺厚的石头、1英寸厚的金属板、一层薄薄的铅或3英尺厚的木头或泥土阻挡。",,,牧师,德鲁伊,圣武士,游侠,,,
2,Detect Thoughts 侦测思想,预言,1个动作,自身,V S M,1分钟,专注,感知/智力,,一块铜片,"你可以读取一些生物的思想。施放法术时，你可以集中思想到30英尺内你看见的任何生物身上。如果这个生物智力只有3或更低，或者不会任何一种语言，则这个生物不受影响。
你最初了解的是这个生物的表面想法，一般就是其此刻正想着的东西。你可以使用一个动作继续深入一个生物的思想，也可以用这个动作转移你的注意力到另一个生物身上。如果你继续深入，目标要做一个感知豁免鉴定。如果失败，你了解到他的逻辑推理（如果有的话）、情绪状态以及他头脑中的一些大事，比如忧虑、挚爱和仇恨的事物。如果成功，法术结束。无论哪种情况，目标都知道你正在探究他的思想。除非你转移注意力到其他生物身上，否则在他的回合，他可以使用一个动作和你进行智力鉴定对抗，如果成功，法术结束。
提问能够针对目标的思想历程，所以这个法术在审讯中特别有效。
你也可以用这个法术侦测看不见的有思维的生物。施放法术时或之后用一个动作，你可以搜寻30英尺内的思想。这个法术能够穿透大多数障碍，但是可以被2英尺厚的石头、2英寸厚的金属板、一层薄薄的铅阻挡。你无法侦测到智力3或以下或者不会任何一种语言的生物。
一旦你用这个方法侦测到一个生物，你可以如上所述，在接下来的时间读取其思想的其他部分。你可以看不见这个生物，但其必须在30英尺的距离内。",,诗人,,,,,术士,,法师
4,Dimension Door 任意门,咒法,1个动作,500尺,V,立即,,,,,"你将自己从当前位置传送到任意准确描述的地点。这个地方可以是你看见的、想象的或者通过距离和方向说明的，比如“径直向下200英尺”，“西北向上45度300英尺”。
你可以携带物品，只要不超过你的负重。你也可以带上一个自愿的生物，它的体型与你一样或更小。它也可以携带不超过它负重的物品。这个生物在你施法时，必须距离你5英尺内。
如果你要到达的地方已经被一个生物或一个物品占据了，你以及任何和你一起传送的生物都将受到4d6力场伤害，而且法术传送失败。
",,诗人,,,,,术士,邪术士,法师
1,Disguise Self 易容术,幻术,1个动作,自身,V S ,1小时,,智力,,,"你让自己以及你的衣服、盔甲、武器和其它个人物品变得不同。这个效果在法术结束或你自己使用动作解除时停止。你看起来，身高可以有一英尺内的变化，体型可胖可瘦。你不能改变你的身体形状，所以你变形的样子必须有四肢或类似的身理结构。另外，幻术效果取决于你。
这个法术的变化无法应对身体检查。比如，你用这个法术添了一顶帽子，物品会穿过帽子，任何人触碰帽子摸不到任何东西或者摸到的是你的头和头发。如果你用这个法术让自己变得消瘦，某个人想要触碰你，他的手会撞上你的身体，看起来他的手好像还停在空中。
想要分辨你是否伪装，一个生物需要使用一个动作，通过调查（智力）技能鉴定对抗你的法术豁免DC。
",,诗人,,,,,术士,,法师
6,Disintegrate 解离术,变化,1个动作,60尺,V S M,立即,,敏捷,,一块磁石和一撮灰尘,"一条纤细绿色的射线从你的指尖射向目标。目标可以是生物、物品或魔法力场，比如力场墙创造的墙壁。
生物必须通过一个敏捷豁免鉴定，失败承受10d6+40的力场伤害，如果生命值因此降至0，则被分解掉。
除了魔法物品，这个生物身上穿戴和携带的东西都和它一起变成一堆灰。这个生物只能通过完全复生术和祈愿术复活。
这个法术会自动分解掉大型或更小的非魔法物品和者魔法力场。如果目标是巨型或更大的物品和魔法力场，这个法术会分解掉其大小10英尺立方的部分。魔法物品不受这个法术影响。",当你使用7环或更高的法术位施放这个法术，你使用的法术位每比6环高1环，伤害提高3d6。,,,,,,术士,,法师
5,Dispel Evil and Good 反制善恶,防护,1个动作,自身,V S M,1分钟,专注,魅力,,圣水或银铁粉末,"发光的能量包围并保护你免受来自精类、不死生物和那些源于主物质位面以外的生物的伤害。天界生物、元素、精类、邪魔、不死生物在针对你的攻击骰上承受劣势。
你可以通过以下方式提前结束这个法术。
破除附魔：使用一个动作，你触碰一个你触及范围内被天界生物、元素、精类、邪魔、不死生物魅惑、恐慌或是占据的生物。这个生物不再被魅惑、恐慌或被这些生物占据。
驱逐：使用一个动作，以一个近战法术攻击，攻击一个天界生物、元素、精类、邪魔、不死生物。命中则你可以尝试将它们驱回它们原来的位面。这个生物需要通过一个魅力豁免检定，失败则返回其原位面，当然它们若已在原位面则无效。比如，精类会返回妖精沃野，不死生物会返回幽影荒原。",,,牧师,,圣武士,,,,
3,Dispel Magic 解除魔法,防护,1个动作,120尺,V S,立即,,,,,选择一个生物、物品或一处魔法效果，任何3环或更低环的目标法术结束。每个4环或更高环的目标法术，要使用你的施法关键属性通过一个属性检定，DC等于10+法术等级，检定成功，法术结束。,当你使用4环或更高的法术位施放这个法术，等于或小于施法环位的目标法术自动结束。,诗人,牧师,德鲁伊,圣武士,,术士,邪术士,法师
1,Dissonant Whispers 不谐低语,附魔,1个动作,60尺,V,立即,,感知,,,你不谐的低语只有一个你选择的生物可以听到，这给它带来可怕的痛苦。目标要通过一个感知豁免检定。失败则承受3d6精神伤害，并在依然可用的情况下立刻好用其反应，基于其速度尽可能的远离你。这个生物不会进入明显危险的地域，比如火焰或陷坑。豁免成功则只承受一半的伤害，并且不会远离。一个耳聋的目标，豁免自动成功。,当你使用2环或更高的法术位施放这个法术，你使用的法术位每比1环高1环，伤害提高1d6。,诗人,,,,,,,
4,Divination 预言术,预言,1个动作,自身,V S M,立即,,,仪式,适合你宗教信仰的熏香和祭品，总共价值至少25金币，在法术过程中会被消耗掉,"你的魔法让你和神祇或神仆相连。你可以就一个特定目标、事件或7天内发生的活动问一个简单的问题。DM会给予真实的答复，这个答复可能是一段短语、一节神秘的韵律或是一个预兆。
法术并没有顾及所有可能影响结果的情况。比如其他法术，或多或少的同伴等。
在完成下一个长休息之前，你每多施放一次该法术，就会累积25%几率得到一个随机的解读，由DM暗骰决定。
",,,牧师,,,,,,
1,Divine Favor 神恩,塑能,1个附加动作,自身,V S,1分钟,专注,,,,你的祈祷赋予你神圣的光芒。你的武器命中后，额外造成1d4光耀伤害。,,,,,圣武士,,,,
7,Divine Word 圣言术,塑能,1个附加动作,30尺,V,立即,,魅力,,,"你吟诵神圣的字词，充满塑造创世黎明的力量。选择任意数量的生物，听到圣言的每个生物都要通过一个魅力豁免检定。失败则基于其当前生命值承受一下效果：
50HP或更少，耳聋1分钟。
40HP或更少，耳聋并目盲10分钟。
30HP或更少，耳聋、目盲并震慑1小时。
20HP或更少，即死。
天界生物、元素、精类、邪魔如果豁免失败，不考虑它们的当前生命值。不在其原属位面的则被迫回到原属位面，并且在24小时内不能通过任何方式回到当前位面，除了祈愿术。",,,牧师,,,,,,
4,Dominate Beast 支配野兽,附魔,1个动作,60尺,V S,1分钟,专注,感知,,,"你试图安抚一头野兽，它必须通过一个感知豁免检定，否则就被你魅惑。如果它与你或你的友方生物战斗，则在这个豁免骰上拥有优势。
当这头野兽被魅惑，只要你和它处于同一位面，则你们保持心灵感应。你有意识的情况下，可以通过心灵感应命令这头野兽，它会尽量服从。这个命令无需动作。你可以下达一个简单普通的指令，比如“攻击那个生物”、“跑到那个位置”或是“获取那个物品”。如果这个生物完成了要求，并且没有收到你进一步的指令。那么它会尽可能的保护自己。
你可以使用一个动作，完全而精确得控制目标，直到你的下一回合。这个生物只能做出你选择的动作，并且不能做任何你没有允许的动作。在此期间，你也可以要求这个生物使用一个反应，但这要求你使用你的反应。
每次目标受到伤害，都可以尝试一次感知豁免检定，成功则法术结束。",当你使用5环法术位施放这个法术，持续时间：专注，最长10分钟。当你使用6环法术位施放这个法术，持续时间：专注，最长1小时。当你使用7环或更高的法术位施放这个法术，持续时间：专注，最长8小时。,,,德鲁伊,,,术士,,
8,Dominate Monster 支配怪物,附魔,1个动作,60尺,V S,1分钟,专注,感知,,,"你试图安抚一个生物，它必须通过一个感知豁免检定，否则就被你魅惑。如果它与你或你的友方生物战斗，则在这个豁免骰上拥有优势。
当这个生物被魅惑，只要你和它处于同一位面，则你们保持心灵感应。你有意识的情况下，可以通过心灵感应命令这个生物，它会尽量服从。这个命令无需动作。你可以下达一个简单普通的指令，比如“攻击那个生物”、“跑到那个位置”或是“获取那个物品”。如果这个生物完成了要求，并且没有收到你进一步的指令。那么它会尽可能的保护自己。
你可以使用一个动作，完全而精确得控制目标，直到你的下一回合。这个生物只能做出你选择的动作，并且不能做任何你没有允许的动作。在此期间，你也可以要求这个生物使用一个反应，但这要求你使用你的反应。
每次目标受到伤害，都可以尝试一次感知豁免检定，成功则法术结束。",当你使用9环法术位施放这个法术，持续时间：专注，最长8小时。,诗人,,,,,术士,邪术士,法师
5,Dominate Person 支配人类,附魔,1个动作,60尺,V S ,1分钟,专注,感知,,,"你试图安抚一个类人生物，他必须通过一个感知豁免检定，否则就被你魅惑。如果他与你或你的友方生物战斗，则在这个豁免骰上拥有优势。
当这个生物被魅惑，只要你和他处于同一位面，则你们保持心灵感应。你有意识的情况下，可以通过心灵感应命令这个类人生物，它会尽量服从。这个命令无需动作。你可以下达一个简单普通的指令，比如“攻击那个生物”、“跑到那个位置”或是“获取那个物品”。如果这个生物完成了要求，并且没有收到你进一步的指令。那么它会尽可能的保护自己。
你可以使用一个动作，完全而精确得控制目标，直到你的下一回合。这个生物只能做出你选择的动作，并且不能做任何你没有允许的动作。在此期间，你也可以要求这个生物使用一个反应，但这要求你使用你的反应。
每次目标受到伤害，都可以尝试一次感知豁免检定，成功则法术结束。",当你使用6环法术位施放这个法术，持续时间：专注，最长10分钟。当你使用7环法术位施放这个法术，持续时间：专注，最长1小时。当你使用8环或更高的法术位施放这个法术，持续时间：专注，最长8小时。,诗人,,,,,术士,,法师
6,Drawmij's Instant Summons 卓姆吉瞬间召唤,咒法,1分钟,接触,V S M,直到解除,,,仪式,一颗价值1000金币的蓝宝石,"你接触一个最多重10磅，最多长6英尺的物品。法术在物品表面留下一个不可见的印记，在你用来施法的蓝宝石上留下物品的名称。每次施放这个法术，你必须使用不同的蓝宝石。
在这之后，你随时可以使用一个动作说出这个物品的名字并粉碎这颗蓝宝石，这个物品立刻出现在你的手上，不计实际距离和位面距离。这个法术结束。
如果另一个生物持有或携带着这个物品，粉碎蓝宝石不会把这个物品传送过来。但是你会知道谁拥有这个物品，以及此刻这个生物的大概位置。
解除魔法或类似效果成功作用于这颗蓝宝石上，则法术结束。",,,,,,,,,法师
5,Dream 托梦术,幻术,1分钟,特殊,V S M,8小时,,感知,,一把沙子，一点墨水，和一支从沉睡的鸟儿身上拔下可书写羽毛,"这个法术将影响一个生物的梦境。选择一个你已认知的生物为目标。目标必须与你存于同一位面。那些不会睡眠的生物，比如精灵，不会被这个法术影响。你或一个自愿被你接触的生物，作为信使进入出神状态。这种状态下，信使来到被托梦生物的周围，但是不能使用动作和移动。
如果目标是睡着的，信使可以进入目标的梦中，而且只要目标保持沉睡，他们就能交流。信使可以改变梦境的环境，创造景观、物品和其他影像。在出神状态下，信使可以在任何时候提前结束法术的影响。目标在完全醒来之后，可以回忆梦境。如果你施法时目标是醒着的，信使可以了解到这点。信使可以结束出神和法术，或是等待目标入睡然后进入他的梦中。
你可以让信使以可怕的形象出现。如果这样做，信使只能提供不超过十个单词的信息，而且目标必须通过一个感知豁免检定。失败的话，幽魂回声的噩梦就会影响目标的睡眠。他无法从休息中获得好处。另外，当其醒来受到3d6精神伤害。
如果你拥有目标身体的部分，比如头发、指甲或类似的东西。目标的豁免检定承受劣势。
",,诗人,,,,,,邪术士,法师
0,Druidcraft 德鲁伊伎俩,变化,1个动作,30尺,V S ,立即,,,,,"自然的精魂在低语，产生以下效果之一：
你创造小而无害的感官效果，可以预测你所在地点接下来24小时的天气情况。这个效果可以是一个代表晴空的金球，一朵代表雨天的云彩，代表雪日而飘飞的雪花等等。这个效果持续1个回合。
你可以立即让一朵鲜花绽放，一颗种子破壳，一片叶蕾发芽。
你创造一个小而无害的即时感官效果，如落叶、微风、小动物的动静或者臭鼬的微弱气味。这个效果在5英尺立方的空间内起效。
你可以立即点亮或熄灭一根蜡烛、一把火炬或是一处小篝火。",,,,德鲁伊,,,,,
8,Earthquake 地震术,塑能,1个动作,500尺,V S M,1分钟,专注,敏捷/力量,,一撮泥土、一块岩石和一坨粘土,"你在一处地面上制造地震扰动。一阵强烈的震颤在半径100英尺的圆圈内震荡开来。这个圆圈的生物和建筑都会受到震动。
这个圆圈内的地面变为困难地形。区域内的每个生物都要通过一个体质豁免检定，失败则生物的专注被破坏。
当你施放这个法术以及你保持专注的每个回合结束时，区域内的每个生物都要通过一个敏捷豁免检定，失败则生物被击倒。
根据施法区域的地形，DM可以决定是否应用额外效果。
裂缝：在施放这个法术的下一个回合，施法区域会死开裂缝。有DM安排1d6条裂缝的位置。每条有1d10×10英尺深，10英尺宽，并且由施法区域的一边延伸到对边。裂缝撕开的时候，有生物处于这个位置，则要通过一个敏捷豁免检定，否则跌落。成功则这个生物移动到裂缝旁边。
裂缝上的建筑会自动崩塌，详情如下。
建筑：在你施放这个法术以及法术结束前你的每个回合开始时，地震对施法区域内的所有建筑都造成50点钝击伤害。如果一座建筑生命值降到0点，它会崩塌而且可能会伤害到附近的生物。距离这座建筑为该建筑高度一半的内的生物，都要通过一个敏捷豁免检定。失败则受到5d6钝击伤害，被击倒并埋于废墟之下。使用一个动作通过一个DC20的运动（力量）技能检定可以逃脱。DM可以根据废墟的情况调整这个DC。如果豁免成功，只承受一半的伤害并且不会被击倒和掩埋。",,,牧师,德鲁伊,,,术士,,
0,Eldritch Blast 魔能爆,塑能,1个动作,120尺,V S,立即,,,,,"一束爆发着能量的光线射向生物。通过一个远程法术攻击检定，命中则目标受到1d10力场伤害。
当你达到更高的等级，这个法术可以创造更多的射线：5级两条，11级三条，17级四条。你可以决定这些射线是攻击同一个目标还是不同的目标，每条射线都单独作攻击检定。
",,,,,,,,邪术士,
3,Elemental Weapon 元素武器,变化,1个动作,接触,V S,1小时,专注,,,,你接触的一把非魔法武器变成魔法武器。选择以下一种伤害类型：强酸、寒冷、火焰、闪电或雷鸣。这把武器在攻击检定上获得+1加值，在伤害检定上获得+1d4所选伤害类型的伤害。,当你使用5环或6环施放这个法术，攻击加值变为+2，额外伤害变为2d4。当你使用7环或更高法术位施放这个法术，攻击加值变为+3，额外伤害变为3d4。,,,,圣武士,,,,
2,Enhance Ability 强化属性,变化,1个动作,接触,V S M,1小时,专注,,,野兽的毛皮或羽毛,"你接触一个生物，用魔法强化其属性。选择下列效果之一，目标获得效果直到法术结束。
熊之坚韧：目标在体质检定上获得优势，同时获得2d6临时生命值，在法术结束后失去。
牛之力量：目标在力量检定上获得优势，而且其负重翻倍。
猫之优雅：目标在敏捷检定上获得优势，并且非乏力状态下，不会受到20英尺以内坠落伤害。
鹰之威仪：目标在魅力检定上获得优势。
狐之狡黠：目标在智力检定上获得优势。
枭之睿智：目标在感知检定上获得优势。",当你使用3环或更高法术位施放这个法术，你使用的法术位每比2环高1环，就可以为法术多选择一个目标。,诗人,牧师,德鲁伊,,,术士,,
2,Enlarge/Reduce 变巨术/缩小术,变化,1个动作,30尺,V S M,1分钟,专注,体质,,一撮铁粉,"你改变你看见的一个生物或物品的大小。选择一个生物或一件没有被穿戴或携带的物品，如果目标非自愿，它可以通过一个体质豁免检定，成功则法术无效。
如果目标是生物，它所穿戴和携带的物品的尺寸也跟着变化，任何脱离这个生物的物品，尺寸恢复正常大小。
变巨：目标体积变为两倍，重量变为八倍。体型也会增长一级，比如中型变为大型。如果没有足够的空间容纳目标，则生物或物品在有限空间下会尽可能地达到最大尺寸。目标在力量检定和力量豁免检定上有优势，直到法术结束。目标的武器也会随之变大，使用这变大的武器攻击时，额外造成1d4伤害。
缩小：目标体积变为一半，重量变为八分之一。体型也会缩小一级，比如中型变为小型。目标在力量检定和力量豁免检定上有劣势，直到法术结束。目标的武器也会随之变小，使用这变大的武器攻击时，减少1d4伤害，这不会使伤害低于1。",,,,,,,术士,,法师
1,Ensnaring Strike 诱捕打击,咒法,1个附加动作,自身,V,1分钟,专注,力量,,,"在法术结束前，下次用武器击中一个生物，在攻击点上会出现一团扭曲的多刺藤蔓。目标必须通过一个成功的力量豁免检定，否则就会被魔法藤蔓变为束缚状态，直到法术结束。大型或更大的生物在这个豁免上有优势，如果豁免成功，藤蔓枯萎。
当被这个法术束缚，目标每个回合开始时受到1d6穿刺伤害。被藤蔓束缚的生物或能够接触到它的生物，可以使用一个动作通过一个力量检定对抗法术豁免DC。成功则目标解除束缚。",当你使用2环或更高法术位施放这个法术，你使用的法术位每比1环高1环，伤害提高1d6。,,,,,游侠,,,
1,Entangle 纠缠术,咒法,1个动作,90尺,V S,1分钟,专注,力量,,,"选择一处，其20英尺平方的范围内长出杂草和葡萄藤，这片被植物覆盖的区域变为困难地形。
在你施放法术时，这个区域的生物必须成功通过一个力量豁免检定，否则会因为这些缠绕的植物成为束缚状态，直到法术结束。一个被这些植物束缚的生物可以使用一个动作通过力量检定对抗法术豁免DC，成功则摆脱束缚。
法术结束时，这些魔法植物会枯萎掉。",,,,德鲁伊,,,,,
2,Enthrall 注目术,附魔,1个动作,60尺,V S,1分钟,,感知,,,你编织了一段使人分心的文字，使得你选择的一个你可看见的、可听见你的生物通过一个感知豁免检定。任何在这个豁免检定上成功的生物都不会被魅惑，如果你或你的同伴正在和其战斗，则这个生物在这个豁免上有优势。如果失败，目标在察觉除你以外生物的侦察（感知）检定上有劣势，直到法术结束或目标不再听得见你。如果你变为乏力状态或不能再说话，这个法术结束。,,诗人,,,,,,邪术士,
7,Etherealness 同游灵界,变化,1个动作,自身,V S,8小时,,,,,"你步入你目前位面和灵界位面的边缘。你可以一直呆在那里直到使用一个动作解除这个法术。你可以向任意方向移动，如果是向上或向下，每移动一英尺就要额外消耗一英尺的速度。你可以看见并听见你原来的位面，但是所有事看起来都是灰色的，并且你看不到60英尺以外的东西。
当处在灵界外面，只有同样处在灵界的其他生物能够被你影响或影响你。不在灵界位面的生物无法察觉你，也无法与你相互影响，除非特殊能力或魔法让它们可以这样做。
你忽略所有不在灵界的物品和效果，这使得你可以穿过你看见的你原来位面的物品。
法术结束时，你立刻回到你在原来位面占据的位置。如果你占据的位置已经有了一件固体的物品或一个生物，你立刻移到最近的你可占据而未被占据的位置并且受到两倍于你移动英尺数的力场伤害。
如果你正处于灵界位面，或所在位面与灵界位面不相连，如外层位面，则这个法术无效。",当你使用8环或更高的法术位施放这个法术，你使用的法术位每比7环高1环，你就可以多选择包括你在内的三个目标。这些生物在你施法时，与你最多10英尺的距离。,诗人,牧师,,,,术士,邪术士,法师
4,Evard's Black Tentacles 艾伐黑触手,咒法,1个动作,90尺,V S M,1分钟,专注,敏捷/力量,,巨型章鱼或巨型鱿鱼的一条触须,"蠕动乌黑的触角布满20英尺范围的一处你选择的地面。触角将这些区域变为困难地形。
当一个生物在其回合开始时处于受影响的区域，或者它第一次进入这个区域，需要通过一个敏捷豁免检定。失败则这个生物受到3d6钝击伤害并且受触角影响成为束缚状态，直到法术结束。当生物在其回合开始时在这个区域被触角束缚，则承受3d6钝击伤害。
一个被这些触角束缚的生物可以使用一个动作选择通过力量检定或敏捷检定对抗法术豁免DC，成功则摆脱束缚。",,,,,,,,,法师
1,Expeditious Retreat 脚底摸油,变化,1个附加动作,自身,V S,10分钟,专注,,,,这个法术允许你以惊人的速度移动。当你施放法术，你每回合都可以使用一个附赠动作完成疾行动作，直到法术结束。,,,,,,,术士,邪术士,法师
6,Eyebite 摄人目光,死灵,1个动作,自身,V S,1分钟,专注,感知,,,"你的眼睛变成充满恐怖力量的漆黑空洞。你选择一个60英尺内你看见的生物，其必须通过一个感知豁免检定，否则就要承受以下由你选择的一个效果。法术结束前的每个回合，你都可以使用一个动作来选择一个目标。但是不能选择那些已经成功通过豁免检定生物。
沉睡：目标昏迷，受到伤害或另一个生物使用动作摇晃它，可以让它醒来。
惊慌：目标因你而恐慌，它必须使用疾行动作和移动通过最短、最安全的路径，尽可能的逃离你。除非它无路可逃。如果目标移动了离你60英尺远并且看不见你，则效果结束。
患病：目标在攻击骰和能力检定上承受劣势。在其每个回合结束时，通过另一个感知豁免检定，成功则效果结束。",,诗人,,,,,术士,邪术士,法师
4,Fabricate 鬼斧神工,变化,10分钟,120尺,V S,立即,,,,,"你将一种材料转化成同种材料的产品。例如，你可以将一丛树转化为一座木桥，一把麻草变为绳子或者亚麻和羊毛变为衣服。
选择施法距离内你可以看到的材料，你可以转化大型或更小材料（至多占据10尺见方空间或8个相邻的5尺见方空间），如果你的目标材料是金属、石料或者其他矿石材料，则只能转化不超过中型的材料（至多5尺见方空间），制成品的质量和原材料质量相同。
生物或魔法物品不能使用这个法术制造。除非你对制作这些物品的工匠工具熟练，你同样不能使用该法术制作通常需要很高工艺的物品，例如珠宝、武器、玻璃或者盔甲。",,,,,,,,,法师
1,Faerie Fire 妖火,塑能,1个动作,60尺,V,1分钟,专注,敏捷,,,"射程内20尺立方内每一件物体被蓝色，绿色，或紫色的光包围（颜色由你选择）。法术范围内敏捷豁免失败的生物也会被光包围。受术物体和生物在法术持续时间内发出10尺半径的微光。
受术生物或物体不能受益于隐形，且任何可以看见他的攻击者在攻击骰上具有优势。",,诗人,,德鲁伊,,,,,
1,False Life 虚假生命,死灵,1个动作,自身,V S M,1小时,,,,1小瓶酒或蒸馏酒精,你获得死灵给予的额外生命力。法术持续时间内，你获得1d4+4临时生命。,当你使用2环或以上的法术位施展该法术，使用的法术位每比1环高一环，你获得5的额外生命。,,,,,,术士,,法师
3,Fear 恐惧术,幻术,1个动作,自身（30尺锥形）,V S M,1分钟,专注,感知,,1片白羽毛或母鸡的心,"你制造一个目标最惧怕的幻象。30尺内的所有生物必须通过一个感知豁免，否则会丢弃他所持有的物品并且在法术持续时间内变为惊恐状态。
被法术所惊恐的目标在其行动轮内必须使用疾行动作来远离施法者，逃到最安全的地方，除非他无路可逃。当目标逃到看不到施法者的地方时，目标可以进行感知豁免，如果豁免成功，则该目标的法术效果结束。",,诗人,,,,,术士,邪术士,法师
1,Feather Fall 羽落术,变化,1个反应动作，当你60尺内有生物掉落时可用,60尺,V M,1分钟,,,,1小片羽毛或绒毛,选择至多范围内5个掉落生物。在法术持续时间结束前，目标的下降速度降低至60尺每轮，目标不会受到掉落伤害同时可以双脚着陆，着陆后该法术失效。,,诗人,,,,,术士,,法师
8,Feeblemind 弱智术,附魔,1个动作,150尺,V S M,立即,,智力,,少量泥、水晶、玻璃或矿物球,"在你的法术范围内选择一个你可见的生物，你摧毁他的意志、智力和人格。目标受到4d6心灵伤害，同时必须进行智力豁免。
如果豁免失败，该生物的智力和魅力变为1，该生物不能施法、启动魔法物品、听懂语言或使用智能方式沟通。但是该生物可以辨识、跟随伙伴，甚至保护他们。
在受影响后的每第30天，该生物可以重新进行豁免，如果成功该法术效果结束。
同时高等复原术、医疗术或者许愿术可以终止该法术效果。",,诗人,,德鲁伊,,,,邪术士,法师
3,Feign Death 假死术,死灵,1个动作,接触,V S M,1小时,,,仪式,一把墓土,"你触摸一个自愿生物，并将他变成死去一般僵硬。
在法术持续时间内，或你再次接触目标消解该法术，目标无论是从外在表象来看还是用可以判断目标状态的法术来侦测，目标都视同死亡，同时根据目标受到的其他法术来决定拥有的额外状态。目标目盲同时失去行动能力，移动速度降低为0。目标对除了精神以外的所有伤害有抗性。如果施法时，目标有疾病或中毒，在该法术持续时间内这些效果无效。",,诗人,牧师,德鲁伊,,,,,法师
1,Find Familiar 获得魔宠,咒法,1小时,10尺,V S M,立即,,,仪式,价值10gp的木炭、香以及香草，必须在黄铜盆中烧掉,"你获得魔宠的服务，一个有着你选择的动物外貌的精魂：蝙蝠、猫、螃蟹、青蛙（蟾蜍）、鹰、蜥蜴、章鱼、猫头鹰、毒蛇、鱼（食人鱼）、老鼠、渡鸦、海马、蜘蛛或鼬。它出现在施法距离内未被占据的空间，它有着选择外形生物的特性，但他实际上是天界、精类或炼狱生物（由你选择）而不是野兽。
你的魔宠独立行动，但它总是遵循你的命令。在战斗中他投自己的先攻，同时在自己的回合内行动。魔宠无法攻击，但是它能如常进行其他动作。
当魔宠的hp降为0时，它会消失，不会留下物理残余，在你重新施展该法术后他会重新出现。
当你的魔宠在你周围100尺时，你可以和他进行心灵交流。另外，以一个动作，你可以通过魔宠的感官视听直到你下一个回合，同时获得该魔宠的任意特殊感知能力。在此期间，你自己的感官无效你视为耳聋和目盲状态。
以一个动作，你可以暂时的解散你的魔宠，它会进入一个小位面重新等待你的召唤。同时你也可以永久解散它。在暂时解散时，你可以以一个动作召唤它出现在30尺内任意未占据的格子中。
你不能同时拥有2个或以上的魔宠，如果你已有魔宠在施展该法术，你则会使其获得你选择的新的形态（从以上列表选择）。
最后，当你施展触摸法术时，你的魔宠可以帮你传递法术。你的魔宠必须在你100尺以内，同时他必须有反应动作来传递法术。如果法术需要一个攻击骰，你使用你自己的调整。",,,,,,,,,法师
